
2018-03-31 19:08:46,b'RT @HRVY: Throwing a party when I get over this flu \xf0\x9f\xa4\xa7\xf0\x9f\x98\x82 but hi twitter sorry for being inactive https://t.co/FbBKg4DU1s'
2018-03-31 19:08:37,b'Michael Jordan Flu Game vs Doc Ellis LSD No Hitter for greatest performance in sports history. #whoyagot'
2018-03-31 19:08:16,"b'RT @HRVY: I\xe2\x80\x99m still alive guys, I can\xe2\x80\x99t shake this flu off\xf0\x9f\x98\x8c I\xe2\x80\x99ve legit been sick for 2 weeks'"
2018-03-31 19:08:08,b'Me and bae got that ascension flu'
2018-03-31 19:07:51,b'RT @PDSA_HQ: Curious Duke had a very lucky escape after he got his paws on #paracetamol from a flu sachet. His owners\xe2\x80\x99 urgent action saved\xe2\x80\xa6'
2018-03-31 19:07:39,"b'2018 has just been one hit after another. Between the flu, staph, my wisdom teeth, and this damn cold/cough/whateve\xe2\x80\xa6 https://t.co/7wjmFWTcnC'"
2018-03-31 19:07:34,"b'RT @NickSawyerMD: Behaviors such aggression, anger, blaming, bullying, dishonesty, greed, narcissism, negativity, profanity and incivility\xe2\x80\xa6'"
2018-03-31 19:07:25,b'RT @educationweek: More than 20 Kentucky school districts closed on Friday after teachers called in sick with \xe2\x80\x98pension flu\xe2\x80\x99.\nhttps://t.co/5\xe2\x80\xa6'
2018-03-31 19:07:22,b'RT @HRVY: Throwing a party when I get over this flu \xf0\x9f\xa4\xa7\xf0\x9f\x98\x82 but hi twitter sorry for being inactive https://t.co/FbBKg4DU1s'
2018-03-31 19:07:21,b'someone diagnose me real quick cause i genuinely think i have the flu'
2018-03-31 19:07:18,b'i ordered some face masks at the height of the flu season and they finally got here ... maybe just in time because\xe2\x80\xa6 https://t.co/0G38qZ7p2C'
2018-03-31 19:06:57,"b'@BigGUY995 It\xe2\x80\x99s just a pesky cold/flu thing, it seems to be going around. Why thank you kindly babe\xf0\x9f\x98\x98'"
2018-03-31 19:06:05,"b""You're not out of the woods just because you already had the flu. https://t.co/EUlTdvhkUL"""
2018-03-31 19:05:59,b'little shook that it took me 7 days to rise from the flu yet it only took 3 days for Jesus to rise from the freaking dead'
2018-03-31 19:05:52,b'RT @EmiForLove: Hi friends\xe2\x99\xa1\nMany are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be\xe2\x80\xa6'
2018-03-31 19:05:44,b'RT @HRVY: Throwing a party when I get over this flu \xf0\x9f\xa4\xa7\xf0\x9f\x98\x82 but hi twitter sorry for being inactive https://t.co/FbBKg4DU1s'
2018-03-31 19:05:35,b'RT @HRVY: Throwing a party when I get over this flu \xf0\x9f\xa4\xa7\xf0\x9f\x98\x82 but hi twitter sorry for being inactive https://t.co/FbBKg4DU1s'
2018-03-31 19:05:33,b'RT @HRVY: Throwing a party when I get over this flu \xf0\x9f\xa4\xa7\xf0\x9f\x98\x82 but hi twitter sorry for being inactive https://t.co/FbBKg4DU1s'
2018-03-31 19:05:22,b'RT @Kole_Browne: So Mike had a hangover that game n we still calling black/red 12s flu games..Nike marketing A1 \xf0\x9f\x98\x82'
2018-03-31 19:05:15,b'RT @EmiForLove: Hi friends\xe2\x99\xa1\nMany are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be\xe2\x80\xa6'
2018-03-31 19:05:15,"b'RT @UNC: As we approach the 100th anniversary of the 1918 flu epidemic, hear from @UNC_Global professor Ralph Baric about the public health\xe2\x80\xa6'"
2018-03-31 19:05:02,b'RT @PDSA_HQ: Curious Duke had a very lucky escape after he got his paws on #paracetamol from a flu sachet. His owners\xe2\x80\x99 urgent action saved\xe2\x80\xa6'
2018-03-31 19:04:52,b'RT @HRVY: Throwing a party when I get over this flu \xf0\x9f\xa4\xa7\xf0\x9f\x98\x82 but hi twitter sorry for being inactive https://t.co/FbBKg4DU1s'
2018-03-31 19:04:50,"b'RT @13isGodsend: Check out ""I Cry"" by 13 - https://t.co/RLiXzoeftA @13isgodsend'"
2018-03-31 19:04:44,"b""One of the best nights I've ever had was going out after taking two paracetamol with vodka, 1 cold and flu tablet a\xe2\x80\xa6 https://t.co/UZvUSbsJD8"""
2018-03-31 19:04:39,"b""wrapping up a deepshit on a flu caught from Youtube reruns &amp; I wish I can send it but you know I don't want to be part of multiple things"""
2018-03-31 19:04:19,b'AIR JORDAN 12 RETRO OVO US13 WHITE GOLD BLACK DRAKE TAXI FLU GAME PLAYOFF 8 10 https://t.co/9Zvzihq9Xm'
2018-03-31 19:03:47,b'RT @EmiForLove: Hi friends\xe2\x99\xa1\nMany are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be\xe2\x80\xa6'
2018-03-31 19:03:41,"b'Next time you eat out, hold the lemon: Nearly 70% of restaurant lemons examined had disease-causing microbes, inclu\xe2\x80\xa6 https://t.co/dWxTzbxt9r'"
2018-03-31 19:03:40,b'Having flu sucks\xf0\x9f\x98\xad'
2018-03-31 19:03:15,b'Ma3e flu aa spring allergy aa dmu3 la iradeye aa sore throat shu baad fi ra7 mout'
2018-03-31 19:03:14,b'RT @HRVY: Throwing a party when I get over this flu \xf0\x9f\xa4\xa7\xf0\x9f\x98\x82 but hi twitter sorry for being inactive https://t.co/FbBKg4DU1s'
2018-03-31 19:03:10,b'Easter weekend so far:\nHusbands in bed with flu - 1\nCross stitch projects started - 1\nBooks read - 0.5\nChocolate eg\xe2\x80\xa6 https://t.co/Du64GyWMrK'
